file	rows	schema_mismatch_rows	stream_rows	q_dist	mode_dist	coexec_dist	max_history	h2d_gib	h2d_ops	h2d_ops_per_accepted	h2d_mib_per_accepted	effective_h2d_gbps	copy_floor_ms_per_accepted	copy_floor_target_fraction	stream_attn_s	stream_attn_ops	stream_attn_ops_per_accepted	target_forward_s	mean_round_ms	p95_round_ms	mean_network_wait_ms	p95_network_wait_ms	max_draft_rtt_p95_ms	max_draft_timeout_rate	max_tp_rank_skew_ms	max_tp_target_slowdown	accepted_tokens	mean_cohort	max_cohort	fallback_rows	missing_drafts	fallback_reasons
profiles/innovation2_step1/B0_dedicated.csv	493	0	0	5:493	parallel:493		0	0.0000	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0.0000	7.9691	58.7416	63.3349	42.5771	46.4331	0.0000	0.0000	0.0000	0.0000	8408	1.0000	1	0	0	
profiles/innovation2_step1/B1_uncontrolled_dedicated.csv	495	0	0	5:495	parallel:495		0	0.0000	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0.0000	8.8177	57.1926	60.3808	39.3791	41.5151	0.0000	0.0000	0.0000	0.0000	8408	1.0000	1	0	0	
